# Evolutionary Algorithm Results Summary
# Best costs from 20,000 generation runs for each population size

## EIL51:
### Population 20:
    - BALANCED: best = 1347016817.49, avg = 1347093019.43, worst = 1347894442.1
    - EXPLOITATION: best = 1271341588.56, avg = 1271341588.56, worst = 1271341588.56
    - EXPLORATION: best = 1447935504.69, avg = 1448564319.8, worst = 1453294054.43

### Population 100:
    - BALANCED: best = 1347016817.49, avg = 1347093019.43, worst = 1347894442.1
    - EXPLOITATION: best = 1271341588.56, avg = 1271341588.56, worst = 1271341588.56
    - EXPLORATION: best = 1447935504.69, avg = 1448564319.8, worst = 1453294054.43

### Population 200:
    - BALANCED: best = 1347016817.49, avg = 1347093019.43, worst = 1347894442.1
    - EXPLOITATION: best = 1271341588.56, avg = 1271341588.56, worst = 1271341588.56
    - EXPLORATION: best = 1447935504.69, avg = 1448564319.8, worst = 1453294054.43
